index,data,type
1933,BCE INC.,Company
1934,129025 CANADA INC.,Company
1935,International Labor Centre & Immigration Recruitment Services Canada Inc.,Company
1936,Sutton Group Realty Services Ltd.,Company
1937,BUSQUE & LAFLAMME INC.,Company
1938,WATERVILLE TG INC.,Company
1939,Deighton Associates Ltd.,Company
1940,CERVUS EQUIPMENT CORPORATION,Company
1941,Jubilant DraxImage Inc.,Company
1942,STaCS DNA Inc.,Company
1943,ASSURART INC.,Company
1944,TransAlta Energy Marketing Corp.,Company
1945,NCRF HOLDINGS INC.,Company
1946,4093887 CANADA LTD.,Company
1947,EMPOWER CLINICS INC.,Company
1948,Pleora Technologies Inc.,Company
1949,Arctic Fishery Alliance Inc.,Company
1950,SWCC Investments Inc.,Company
1951,TECSYS INC.,Company
1952,4093879 CANADA LTD.,Company
1953,AETERNA ZENTARIS INC.,Company
1954,CHEVRON CANADA LIMITED,Company
1955,Equity Cheque Capital Corporation,Company
1956,Ur-Energy Inc.,Company
1957,ICE NGX CANADA INC.,Company
1958,9376747 Canada Inc.,Company
1959,FluoroSeal International Holdings Inc.,Company
1960,AEX Gold Inc.,Company
1961,SOOKE INVESTMENTS INC.,Company
1962,Serrubec Inc.,Company
1963,GENISYSTEMS.CA SERVICES INC.,Company
1964,LAUREN SERVICES INC.,Company
1965,GRAYMONT (PACIFIC) INC.,Company
1966,BESRA GOLD INC.,Company
1967,CROWLEY KNOX MINKOFF INC.,Company
1968,"ENERGIE INNOVATION Vaidya,Baljak INC.",Company
1969,WESTINCOR Limited,Company
1970,EncoreFX Inc.,Company
1971,BANK OF MONTREAL FINANCE LTD.,Company
1972,DAVIDsTEA INC.,Company
1973,ORCKESTRA INC.,Company
1974,"BNY Mellon Performance & Risk Analytics, Inc.",Company
1975,THE TALL GIRL SHOP LTD.,Company
1976,RITCHIE BROS. HOLDINGS LTD.,Company
1977,"Mad Catz Interactive, Inc.",Company
1978,PROWIS INC.,Company
1979,MCGILL ST-LAURENT INC.,Company
1980,CANADIAN RESERVE OIL AND GAS LTD.,Company
1981,INTERNATIONAL ROAD DYNAMICS INC.,Company
1982,Asahi Refining Canada Ltd.,Company
1983,VERSATERM INC.,Company
1984,BSN Medical Inc.,Company
1985,ATLAS TURNER INC.,Company
1986,CAE INTERNATIONAL HOLDINGS LIMITED,Company
1987,SUNOPTA INC.,Company
1988,FINABEN INC.,Company
1989,7792638 Canada Inc.,Company
1990,TECHNOLOGY ONE LIMITED,Company
1991,Heilenex Pharma Inc.,Company
1992,10137375 Canada Inc.,Company
1993,AGI SOFTWARE CONSULTING INC.,Company
1994,Silverstrand Production Services Inc.,Company
1995,LANIAKEA INC.,Company
1996,10140066 CANADA INC.,Company
1997,Lima IT Solutions Incorporated,Company
1998,7732511 CANADA INC.,Company
1999,Fangshujia Summer Fun Inc.,Company
2000,La Chambre de Commerce de Collette,Company
2001,CAMPOBELLO ISLAND CHAMBER OF COMMERCE,Company
2002,164674 CANADA INC.,Company
2003,2714302 CANADA INC.,Company
2004,CHAMBRE DE COMMERCE DE PIEDMONT,Company
2005,Gestion Jean Barrette Inc.,Company
2006,LES ENTREPRISES YVES ANDRE INC.,Company
2007,BELKHEAR INVESTMENTS INC.,Company
2008,3293734 CANADA INC.,Company
2009,3320081 CANADA INC.,Company
2010,WWW AUTO GUIDE INC.,Company
2011,3356264 CANADA INC.,Company
2012,2729296 CANADA INC.,Company
2013,2844087 CANADA INC.,Company
2014,2931621 CANADA INC.,Company
2015,VIPRA TECH INC.,Company
2016,COREL EXPERTISE INC.,Company
2017,2856921 CANADA INC.,Company
2018,3260470 CANADA INC.,Company
2019,,Company
2020,"Davey Jones Fireworks of SC, Inc.",Company
2021,"RAM Development, Incorporated",Company
2022,Centers for Spiritual Living,Company
2023,"PrutectRx, LLC",Company
2024,Nurse-Family Partnership,Company
2025,"CENTENNIAL MANAGEMENT SERVICES, INC.",Company
2026,"WaterStone Support Foundation, Inc.",Company
2027,SST ENERGY CORPORATION,Company
2028,THE CHRISTIAN AND MISSIONARY ALLIANCE,Company
2029,6 more,Company
2030,THE JUSTICE MANAGEMENT INSTITUTE,Company
2031,"U.S.A.A. LIFE GENERAL AGENCY, INC.",Company
2032,"TLI Solutions, Inc.",Company
2033,Acceleration in Mission Strategies,Company
2034,NATIONAL OPINION RESEARCH CENTER,Company
2035,4 more,Company
2036,"CACV OF COLORADO, LLC",Company
2037,"Elite Soccer Performance Training, LLC",Company
2038,"Tiago Title, LLC.",Company
2039,"GreenRes, LLC",Company
2040,DigniFi Tech Inc.,Company
2041,"NEW GENEVA, INC.",Company
2042,KINSMAN CONSTRUCTION INC.,Company
2043,"COBURN INVESTIGATIVE AGENCY, INC.",Company
2044,Farm Equipment LLC,Company
2045,"COLORADO CAPITAL & DESIGN, LLC",Company
2046,"ROCKY MOUNTAIN PLANNED PARENTHOOD, INC.",Company
2047,"CORWIN BROWN & ASSOCIATES, INC.",Company
2048,"EAST WEST PARTNERS, INC.",Company
2049,"CERTIFIED FINANCIAL PLANNER BOARD OF STANDARDS, INC.",Company
2050,13 more,Company
2051,"Claire's Boutiques, Inc.",Company
2052,MIRACLE BEVERAGE INC.,Company
2053,LEARNING TREE FARMS LLC,Company
2054,"American sealants, Inc.",Company
2055,Yoo Property Management LLC,Company
2056,Pure Cycle Corporation,Company
2057,"Neuehouse Investors, LLC",Company
2058,"SUNTURN, INC.",Company
2059,"W/H/I/P SYSTEMS, LLC",Company
2060,General Cannabis Corp,Company
2061,Joint Council on International Children's Services,Company
2062,"PRO-DEX, INC.",Company
2063,"Kira, Incorporated",Company
2064,"AMERICAN REMODELING, INC.",Company
2065,Rachel's Challenge,Company
2066,"CSI Concrete, Inc.",Company
2067,"iAppSys, Inc.",Company
2068,"C-Bond Systems, Inc.",Company
2069,GMCO Corporation,Company
2070,"Rhino Communications, Inc.",Company
2071,"PCL INDUSTRIAL SERVICES, INC.",Company
2072,ASSURED LIFE ASSOCIATION,Company
2073,"Voya America Equities, Inc.",Company
2074,"UNITED STATES FIELD HOCKEY ASSOCIATION, INC.",Company
2075,MEXCO ENERGY CORPORATION,Company
2076,SYNTEC DIAMOND TOOLS INC.,Company
2077,"United Auctioneers, LLC",Company
2078,"Home Energy Advantage, llc",Company
2079,4D Ministries,Company
2080,Interstate Restoration LLC,Company
2081,5 more,Company
2082,Qdoba Restaurant Corporation,Company
2083,"American DataBank, LLC",Company
2084,"GRESCO UTILITY SUPPLY, INC.",Company
2085,"Advanced Technologies Industrial Insulation, Inc.",Company
2086,"The Paradise Group, Inc",Company
2087,FELLOWSHIP OF CATHOLIC UNIVERSITY STUDENTS,Company
2088,Lerch Bates Inc.,Company
2089,THE NAVIGATORS,Company
2090,145 more,Company
2091,ADCO GENERAL CORPORATION,Company
2092,The Water Research Foundation,Company
2093,THE ACCESS FUND,Company
2094,3 more,Company
2095,"SIMBECK AND ASSOCIATES, INC.",Company
2096,CHILDREN COME FIRST,Company
2097,JORDY & COMPANY,Company
2098,"Technoalpin USA, Inc.",Company
2099,HEAT Software USA Inc.,Company
2100,20 more,Company
2101,"LITCHFIELD SHADY BANKS, LLC",Company
2102,"AFFORDABLE MULTI-FAMILY, LLC",Company
2103,"ACULIX, INC.",Company
2104,"CENTURY ONE BUILDERS OF ARIZONA, INC.",Company
2105,EVANGELISTIC MISSIONARY FELLOWSHIP,Company
2106,"AMERICAN JUDGES ASSOCIATION, INC.",Company
2107,"Keystone Experts and Engineers, LLC",Company
2108,McEwen Mining Inc.,Company
2109,"HARRIS ROOF SYSTEMS, INC.",Company
2110,"FIRST FINANCIAL PROPERTIES, LLC",Company
2111,"Zyomic Technologies, LLC",Company
2112,Rocky Mountain Truck Centers of Wichita,Company
2113,"Aztech Professional Services, Inc.",Company
2114,"LEADER DEVELOPMENT NETWORK, INC.",Company
2115,"SmallBiZ Agents, LLC",Company
2116,,Company
2117,THE EDGE OPTION III LIMITED PARTNERSHIP,Company
2118,"INTERSTATE FIRE & SAFETY STEAM CLEANING, INC.",Company
2119,PHYSICIANS PLANNING SERVICE CORP. OF CONNECTICUT,Company
2120,"ATLAS TRUCK LEASING, INC.",Company
2121,"MONTAGNO CONSTRUCTION, INC.",Company
2122,"TRIAD HEALTHCARE, INC.",Company
2123,GREYSTONE INSURANCE COMPANY,Company
2124,HUBBELL INCORPORATED,Company
2125,"BENEDICT GROUP, INC.",Company
2126,MML BAY STATE LIFE INSURANCE COMPANY,Company
2127,BRAKELEY BRISCOE INC.,Company
2128,SWISS RE LIFE & HEALTH AMERICA INC.,Company
2129,"NEELTRAN, INC.",Company
2130,AETNA INSURANCE COMPANY OF AMERICA,Company
2131,"TELREPCO, INC.",Company
2132,"SALISBURY BANCORP, INC.",Company
2133,"BACARELLA TRANSPORTATION SERVICES, INC.",Company
2134,INDUSTRIAL PLANTS CORPORATION,Company
2135,GOLF CAR SYSTEMS INCORPORATED,Company
2136,ZAR CORP.,Company
2137,ASSOCIATED COMMUNITY BROKERS LLC,Company
2138,"PHOTRONICS, INC.",Company
2139,SKY KING FOUNDATION INCORPORATED,Company
2140,"SKLOVER BENEFITS GROUP, INC.",Company
2141,"WEBSTER CAPITAL FINANCE, INC.",Company
2142,"PRIESTLY FRATERNITY OF ST. PETER, INC.",Company
2143,COLOR FILM CORPORATION,Company
2144,"NATIONAL AERONAUTIC ASSOCIATION OF U. S. A., (INCORPORATED)",Company
2145,"CHRISTIAN HERITAGE SCHOOL, INC.",Company
2146,"THE AMERICAN AUTOMOBILE ASSOCIATION, INC.",Company
2147,"NORWICH COMMERCIAL GROUP, INC.",Company
2148,"MAY, BONEE & WALSH, INC.",Company
2149,MONTY PRODUCTIONS LLC,Company
2150,VENSAI TECHNOLOGIES INC.,Company
2151,"EMPLOYEE STAFFING OF AMERICA, INC.",Company
2152,GOLD COAST IT SOLUTIONS LLC,Company
2153,"CONYERS CONSTRUCTION COMPANY, INC.",Company
2154,MBIA INC.,Company
2155,"AGENCY SOLUTIONS.COM, LLC",Company
2156,"NATIONAL COLLECTION & LOSS MITIGATION SERVICES, LLC",Company
2157,ACME UNITED CORPORATION,Company
2158,RESPONSE INSURANCE COMPANY,Company
2159,F.A. BARTLETT TREE EXPERT COMPANY THE,Company
2160,A/Z CORPORATION,Company
2161,"NEW ENGLAND FARM WORKERS' COUNCIL, INC.",Company
2162,"TEACH FOR AMERICA, INC.",Company
2163,KAMAN CORPORATION,Company
2164,"USI CONSULTING GROUP, INC.",Company
2165,"CAMPUS TELEVIDEO, INC.",Company
2166,"TURNAROUND FOR CHILDREN, INC.",Company
2167,"NORTHEAST AGRI SYSTEMS, INC.",Company
2168,SAGADAHOC OIL & GAS CORPORATION,Company
2169,"ADVANTAGE PERFORMANCE GROUP, INC.",Company
2170,"STAMFORD INSURANCE GROUP, INC.",Company
2171,"STANLEY BLACK & DECKER, INC.",Company
2172,GERBER TECHNOLOGY LLC,Company
2173,"DINATALI CUSTOM HOMES, INC.",Company
2174,"SOUND LAB, INC.",Company
2175,"BUDWITZ & MEYERJACK, P.C.",Company
2176,GLOBAL AIR CHARTERS INC.,Company
2177,BARCLAYS CAPITAL INC.,Company
2178,MAXUM CASUALTY INSURANCE COMPANY,Company
2179,"THE HARTFORD FINANCIAL SERVICES GROUP, INC.",Company
2180,MAXUM INDEMNITY COMPANY,Company
2181,"DRESS BARN, INC. THE",Company
2182,"ASCENA RETAIL GROUP, INC.",Company
2183,"PEOPLE'S SECURITIES, INC.",Company
2184,"PEOPLE'S UNITED FINANCIAL, INC.",Company
2185,MSB REAL ESTATE CORP.,Company
2186,AMERICAN EQUITY SPECIALTY INSURANCE COMPANY,Company
2187,"The Travelers Companies, Inc.",Company
2188,AETNA NETWORK SERVICES LLC,Company
2189,CVS HEALTH CORPORATION,Company
2190,"PREMIUM FUNDING ASSOCIATES, INC.",Company
2191,WILLIS TOWERS WATSON PUBLIC LIMITED COMPANY,Company
2192,"LINCOLN FINANCIAL DISTRIBUTORS, INC.",Company
2193,LINCOLN NATIONAL CORPORATION,Company
2194,"STARWOOD PROPERTY TRUST, INC.",Company
2195,"XPO LOGISTICS, INC.",Company
2196,SEYMOUR CT LIONS INC.,Company
2197,"BEAVER EXPRESS, INC.",Company
2198,STARR SURPLUS LINERS INSURANCE COMPANY,Company
2199,"YOUR ENERGY HOLDINGS, LLC",Company
2200,"ST. JOHNS TOWERS MEMBER ASSOCIATES, LLC",Company
2201,"CT PHYSICIAN PARTNERS, INC.",Company
2202,"CT TITLE SOLUTIONS, LLC",Company
2203,"WESTERN CONNECTICUT ORTHOPEDIC INSTITUTE, P.C.",Company
2204,"ROUND II, INC",Company
2205,FRESH FOOD LLC,Company
2206,CILENTO MORTGAGE ADVISORY CORP.,Company
2207,"LAW OFFICE OF ROBIN P. KELLER, P.C.",Company
2208,"VALASSIS INTERACTIVE, INC",Company
2209,"CAPACITY WIRELESS PARTNERS, LLC",Company
2210,"PILATES OF DARIEN, LLC",Company
2211,"DMA-AERO, INC.",Company
2212,"CONNECTICUT BLOOMS, LLC",Company
2213,"SMOKE BREAK, LLC",Company
2214,,Company
2215,SYNTIO d.o.o.,Company
2216,REALMONT PROJEKT d.o.o.,Company
2217,VIKI d.o.o.,Company
2218,PAX d.o.o. ˝u likvidaciji˝,Company
2219,LIBER STOLARIJA d.o.o. ˝u likvidaciji˝,Company
2220,MIRAGE d.o.o. ˝u likvidaciji˝,Company
2221,NARONA d.o.o. ˝u likvidaciji˝,Company
2222,OLYMP d.o.o. ˝u likvidaciji˝,Company
2223,YURISTING d.o.o. ˝u likvidaciji˝,Company
2224,PETRANS d.o.o. ˝u likvidaciji˝,Company
2225,TAZD - d.o.o. ˝u likvidaciji˝,Company
2226,ROGINA TOURS d.o.o. ˝u likvidaciji˝,Company
2227,AUTO-DESIGN d.o.o. ˝u likvidaciji˝,Company
2228,BOSTEP d.o.o. ˝u likvidaciji˝,Company
2229,GOP d.o.o. ˝u likvidaciji˝,Company
2230,LARGO d.o.o. ˝u likvidaciji˝,Company
2231,"HATLAK - VELETRGOVINA, MARKETING d.o.o. Varaždin ˝u likvidaciji˝",Company
2232,KADEX d.o.o. ˝u likvidaciji˝,Company
2233,"KOMPTEX, d.o.o.",Company
2234,"GOD, d.o.o.",Company
2235,TAP AUTO d.o.o.,Company
2236,ARGYRA d.o.o.,Company
2237,EVEREST d.o.o.,Company
2238,CELESTA d.o.o.,Company
2239,Mare Mentis d.o.o.,Company
2240,TISAK A4 d.o.o.,Company
2241,AROMATEKA d.o.o.,Company
2242,IGGY MONT d.o.o.,Company
2243,AQUA - KETI d.o.o.,Company
2244,GENIUM MAX d.o.o.,Company
2245,PEGASOS d.o.o. u likvidaciji,Company
2246,DALMA ENERGIJA d.o.o. - u likvidaciji,Company
2247,DONJI KRAJI d.o.o.,Company
2248,Odvjetničko društvo Vujasin & Lacković-Starčević,Company
2249,EKO SUSTAV d.o.o.,Company
2250,LABORIS SAVJETOVANJE d.o.o.,Company
2251,GAP-MAKSIMIR d.o.o.,Company
2252,MAXI d.o.o.,Company
2253,KIKIRIKI d.o.o.,Company
2254,SOLIS ROSARIUM d.o.o.,Company
2255,TRIPLE S LEARNING d.o.o.,Company
2256,ZARTINJ d.o.o.,Company
2257,HARDER d.o.o.,Company
2258,OMIŠALJ VRTOVI d.o.o. u likvidaciji,Company
2259,"TRATICA, d.o.o.",Company
2260,PLOVILO d.o.o.,Company
2261,MOBILTRANS d.o.o.,Company
2262,PUČKO OTVORENO UČILIŠTE NOVI,Company
2263,SOKOL - KIM d.o.o.,Company
2264,ŽANE-KOVANA BRAVARIJA d.o.o.,Company
2265,BODAGO d.o.o. u likvidaciji,Company
2266,MOJA KARIJERA d.o.o.,Company
2267,CENTRALIS d.o.o.,Company
2268,VRANIĆ-DOM d.o.o.,Company
2269,MOREA d.o.o.,Company
2270,SAVA PROJEKT d.o.o.,Company
2271,CALLIDUS GRUPA d.o.o.,Company
2272,KAMENSKO TRGOVINA d.o.o.,Company
2273,Poslovno učilište Supera,Company
2274,FANI d.o.o.,Company
2275,INFOBROD d. o. o.,Company
2276,CONDUCTA d.o.o.,Company
2277,SUNČEV SJAJ d.o.o.,Company
2278,RAPIDUS REZ d.o.o.,Company
2279,ST.MRAMOR d.o.o.,Company
2280,TEHNOFERM GRADNJA d.o.o.,Company
2281,GEOBIRO-SAMOBOR d.o.o.,Company
2282,IMMOLATOR d.o.o.,Company
2283,SAMBUCUS d.o.o.,Company
2284,PAN - PROJEKT d. o. o.,Company
2285,EKORAM d.o.o.,Company
2286,KA ŠEST d.o.o.,Company
2287,ALUMI d.o.o.,Company
2288,BIO ORIENS d.o.o.,Company
2289,PRSTEN d.o.o.,Company
2290,BRODARICA NET d.o.o.,Company
2291,ISOROPIA d.o.o.,Company
2292,M.M. MEGALODON d.o.o.,Company
2293,DEKtec solarna energija d.o.o.,Company
2294,BATALIN d.o.o.,Company
2295,Elektro-komunikacije d.o.o.,Company
2296,DIRIGENS napredna ispisna rješenja d.o.o.,Company
2297,GENESIS-PROJEKT d.o.o.,Company
2298,KON.PRE.LI. PRECIZNI LIJEV d.o.o.,Company
2299,PEZO-DOM d.o.o.,Company
2300,RADOVI T-GLOBAL d.o.o.,Company
2301,IRA GRADNJA d. o. o.,Company
2302,KARIN DONJI zadruga,Company
2303,M & A d.o.o.,Company
2304,AUTO GORICA d.o.o.,Company
2305,,Company
2306,Dorland Private Foundation,Company
2307,Spectra Private Foundation,Company
2308,Miramichi Springs Private Foundation,Company
2309,Best Future Private Foundation,Company
2310,N.V. Kievit,Company
2311,Frisol International Oil Trading N.V.,Company
2312,Vitafin N.V.,Company
2313,General Tugboat Company N.V.,Company
2314,Anbermada Investments N.V.,Company
2315,Voorschoten 76 N.V.,Company
2316,Gregy's Import & Export Agencies,Company
2317,Transport Lease N.V.,Company
2318,Kompania di Produkshon di Awa i Elektrisidat di Korsou (KAE) N.V.,Company
2319,Antillian Paper and Plastic Company N.V.,Company
2320,Curusa N.V.,Company
2321,Stanhold N.V.,Company
2322,Lane Realty N.V.,Company
2323,Carbel N.V.,Company
2324,Panar Corporation N.V.,Company
2325,Beleggingsmaatschappij Mahole B.V.,Company
2326,Corolla Investments N.V.,Company
2327,Constancia N.V.,Company
2328,Rhone Investments N.V.,Company
2329,Veeris Kantoormachines Reparatiebedrijf,Company
2330,Lezaet Corporation N.V.,Company
2331,Atlantic Fishing and Charter N.V.,Company
2332,Beleggingsmaatschappij De Lankhorst N.V.,Company
2333,La Coruña Investments N.V.,Company
2334,Runvee Hudson Limited N.V.,Company
2335,Mississipi Holdings N.V.,Company
2336,Bemar Holdings N.V.,Company
2337,Xanthus N.V.,Company
2338,Ephialtes N.V.,Company
2339,Gorcell Investments N.V.,Company
2340,Glenrose Energy N.V.,Company
2341,Inmobil N.V.,Company
2342,Haspelmann N.V.,Company
2343,Corporacion Heerenstraat N.V.,Company
2344,Lester Corporation N.V.,Company
2345,Sherrell Corporation N.V.,Company
2346,Curamer Trust N.V.,Company
2347,Sweetco Holdings N.V.,Company
2348,Boticelli N.V.,Company
2349,Sandy Creek N.V.,Company
2350,The Mesa Corporation N.V.,Company
2351,Sun Pensioen N.V.,Company
2352,Tibet Investments N.V.,Company
2353,Haca Holding N.V.,Company
2354,All Around Van Electric,Company
2355,Prism Sentinel N.V.,Company
2356,Satori B.V.,Company
2357,SE Holding B.V.,Company
2358,Stichting Palazzo International,Company
2359,Kayena Consulting,Company
2360,Fun2Go Curaçao,Company
2361,Fresh and Healthy Restaurant,Company
2362,Marcelo Barbershop,Company
2363,Chinelton N.V.,Company
2364,Swart Engineering International N.V.,Company
2365,Timcuran N.V.,Company
2366,Tanaka Investments N.V.,Company
2367,Halley Investments B.V.,Company
2368,Intertropical Fruit Holdings N.V.,Company
2369,Vlietstaete Holding N.V.,Company
2370,Osco N.V.,Company
2371,FGH Finance N.V.,Company
2372,Lansdale N.V.,Company
2373,Missoula Company N.V.,Company
2374,Niresta Corporation N.V.,Company
2375,Marquette Corp. N.V.,Company
2376,Double Lock Corporation N.V.,Company
2377,Patobal N.V.,Company
2378,Sessa Investments N.V.,Company
2379,Polyn Corporation N.V.,Company
2380,Fanni N.V.,Company
2381,Luigino Airco Service,Company
2382,Nocobus Europe N.V.,Company
2383,Arana Holding N.V.,Company
2384,Curaçao Ports Authority N.V.,Company
2385,Fanoma N.V.,Company
2386,Cointrade Investments N.V.,Company
2387,J. Van Den Berg N.V.,Company
2388,Garlieston Corporation N.V.,Company
2389,Oficina di Contabilidad Pa Empresanan Local Ocel.,Company
2390,Newfoundland Holdings N.V.,Company
2391,Buildinvest N.V.,Company
2392,Anselmus Th. Dap (Boy),Company
2393,River Estate N.V.,Company
2394,Administratiekantoor Divi-Divi,Company
2395,"Laker, Isbelia Maria",Company
2396,,Company
2397,KEA CYPRUS LIMITED,Company
2398,OMNIA TRUST SERVICES LIMITED,Company
2399,POLLAKIM HOLDINGS LIMITED,Company
2400,B-GAS LIMITED,Company
2401,D.C.L (HOLDING) LTD,Company
2402,DIREM MANAGEMENT LIMITED,Company
2403,ANJOCA FARMS LTD,Company
2404,BELAMER LTD,Company
2405,I&F NORDICS LTD,Company
2406,WINGFIRM LIMITED,Company
2407,SOLSTRA HOLDINGS CYPRUS LIMITED,Company
2408,LOAVEN TRADING LIMITED,Company
2409,ARROWBAND LIMITED,Company
2410,MONADSHIRE VENTURES LTD,Company
2411,VIATEXON HOLDING LTD,Company
2412,FOOD UNION HOLDING (CY) PUBLIC COMPANY LIMITED,Company
2413,RONCAD INVESTMENTS LIMITED,Company
2414,N35 FINANCIAL LIMITED,Company
2415,VALKINA LIMITED,Company
2416,LEARN TO TRADE INTERNATIONAL (HOLDINGS) LTD,Company
2417,STRYDOM INVESTMENTS CO LIMITED,Company
2418,IRON MOUNTAIN EES HOLDINGS LIMITED,Company
2419,C. HORN INVESTMENTS LIMITED,Company
2420,BOUKARI HOLDINGS LIMITED,Company
2421,KILICON ENTERPRISES COMPANY LIMITED,Company
2422,SPIRASOL LIMITED,Company
2423,VENTURESEED EUROPE LIMITED,Company
2424,KRONOSPAN BALTIC HOLDINGS LTD,Company
2425,TRANS NOVA INVESTMENTS LIMITED,Company
2426,JACOBSEN INCENTIVE HOLDING LIMITED,Company
2427,BLACKTECH VENTURES LTD,Company
2428,QIWI PLC,Company
2429,I LOVE EMAILS LTD,Company
2430,DUMSLOV HOLDINGS LTD,Company
2431,CC CONTINENTAL CITY CAPITAL LTD,Company
2432,WARGAMING GROUP LIMITED,Company
2433,TID TIL RO LTD,Company
2434,B & E INVEST LIMITED,Company
2435,TELLARIAN FUNDING LTD,Company
2436,LANEWORK LIMITED,Company
2437,G.I.R.E. GLOBAL INFRASTRUCTURE REAL ESTATE FUND LIMITED,Company
2438,HRS (HOSPITALITY AND RETAIL SYSTEMS) LTD,Company
2439,PACATIAN LIMITED,Company
2440,DOVALE LIMITED,Company
2441,FIRST PEAK HOLDINGS LIMITED,Company
2442,ZWALLES HOLDINGS LIMITED,Company
2443,CIKLUM HOLDING LIMITED,Company
2444,WESTERN INTRUST LTD,Company
2445,SAFE INFORMATION GROUP CYPRUS LIMITED,Company
2446,POSATHRA HOLDING LIMITED,Company
2447,TRITORIA INVESTMENTS LTD,Company
2448,ARCARDINI LIMITED,Company
2449,C. C. CLEA CAPITAL LIMITED,Company
2450,LEVERRET HOLDING LIMITED,Company
2451,DAZIO LIMITED,Company
2452,SCATRON INVESTMENT LIMITED,Company
2453,RICCO MORTENSEN LTD,Company
2454,JULIUS NIELSEN GROUP LTD,Company
2455,CHOBALE ENTERPRISES LIMITED,Company
2456,AG BUSINESS ALLIANCE LIMITED,Company
2457,AMDOCS DEVELOPMENT LIMITED,Company
2458,NOTESCO FINANCIAL SERVICES LIMITED,Company
2459,LIITA HOLDINGS LIMITED,Company
2460,TRAV5588 LIMITED,Company
2461,ANATROL LIMITED,Company
2462,C.M. CONTEMPORA LIMITED,Company
2463,MOZIPO HOLDING LTD,Company
2464,MENTORSERVE LTD,Company
2465,UNTRIEM HOLDINGS LTD,Company
2466,U.C. USERCONSUMER MARKETING LIMITED,Company
2467,GONDE CAPITAL LIMITED,Company
2468,D.H. PRIVATE INVEST TECHNOLOGY LIMITED,Company
2469,N.L.S DESSERTS AND ENTERTAINMENT LIMITED,Company
2470,PREISLER ASSET MANAGEMENT LIMITED,Company
2471,MANSVELL ENTERPRISES LTD,Company
2472,EXNESS GLOBAL LIMITED,Company
2473,ARICENT HOLDINGS CYPRUS LIMITED,Company
2474,RFG HOLDING LTD,Company
2475,UPPER PARK PROPERTIES LIMITED,Company
2476,FUND97 LTD,Company
2477,JUHLER SERVICES LIMITED,Company
2478,OWR CYPRUS LIMITED,Company
2479,ALKINZ GROUP HOLDING LIMITED,Company
2480,ANTRAVINA LIMITED,Company
2481,DALSEIN LIMITED,Company
2482,ALENKOR TRADING LIMITED,Company
2483,MONITERRA LTD,Company
2484,SALFOTEX LIMITED,Company
2485,BW LNG CYPRUS LIMITED,Company
2486,,Company
2487,"STELLAR INDUSTRIES, INC.",Company
2488,"LORD BALTIMORE CAPITAL PARTNERS, LLC",Company
2489,SPECTRUM EDU SOLUTIONS LLC,Company
2490,"GREENFIELD COMMUNICATIONS, INC.",Company
2491,"NN-LABS, LLC",Company
2492,ARBORBRIDGE INC.,Company
2493,GAMA AVIATION LLC,Company
2494,"APPLIED INVENTION, LLC",Company
2495,"ABELCONN, LLC",Company
2496,PWG PUBLISHING LLC,Company
2497,"NATIONAL CLOSING SOLUTIONS, INC.",Company
2498,"LIFE EXTENSION PHARMACY, INC.",Company
2499,KITTY HAWK CORPORATION,Company
2500,ENTREPRENEUR AMERICA MENTORS LLC,Company
2501,WADE CORPORATION,Company
2502,ST. PAUL OIL AND GAS CORPORATION,Company
2503,"RLC INVESTMENTS, INC.",Company
2504,LEAR PETROLEUM CORPORATION,Company
2505,"NORDIC PETROLEUMS, INC.",Company
2506,"MARIPOSA HEALTH, INC.",Company
2507,"SYNERGETICS USA, INC.",Company
2508,ULANO CORPORATION,Company
2509,"MAYFLOWER APPLE BLOSSOM, L.P.",Company
2510,"PRIVATE ADVISORS PRIVATE EQUITY FUND, L.P.",Company
2511,"HARDCASTLE CAPITAL PARTNERS, L.P.",Company
2512,CENTRONEX LLC,Company
2513,ACADIA VIRGINIA CENTER LP,Company
2514,"NEW DAIRY GROUP, LLC",Company
2515,"HABASIT AMERICA, INC.",Company
2516,"POWER ACQUISITIONS I, LLC",Company
2517,"EUROPACKAGING, LLC",Company
2518,"WXIII/MSD PARALLEL GEN-PAR, L.L.C.",Company
2519,"WIZELINE, INC.",Company
2520,"PARAMONT COAL COMPANY VIRGINIA, LLC",Company
2521,"LOCALCONSTRUCT COMMUNITIES, LLC",Company
2522,"TECHLYNX GROUP, LLC",Company
2523,"FERTILEWELL, LLC",Company
2524,"ZAIS GROUP HOLDINGS, INC.",Company
2525,"AMERICAN DENTAL PARTNERS OF VIRGINIA, LLC",Company
2526,"WIZARD WORLD, INC.",Company
2527,CESC TWO SKYLINE PLACE L.L.C.,Company
2528,"DDR SOUTHEAST RICHMOND, L.L.C.",Company
2529,"FLEET FINANCE, INC.",Company
2530,"BPI MANAGEMENT, LLC",Company
2531,"DH ASSET, INC.",Company
2532,"BRANAM ORAL HEALTH TECHNOLOGIES, INC.",Company
2533,"IN-STORE OPPORTUNITIES, LLC",Company
2534,"AGUILA ENGINEERING, LLC",Company
2535,"QUALITY INNS INTERNATIONAL, INC.",Company
2536,"CLSA AMERICAS, LLC",Company
2537,"KNOTICE, LLC",Company
2538,"CREATIVE FINANCIAL STAFFING, INC.",Company
2539,"RAND WORLDWIDE, INC.",Company
2540,EDISON MISSION ENERGY,Company
2541,KAISER ALUMINUM CORPORATION,Company
